feature,feature_value,shap_value,absolute_shap
V9,1.0,-2.0357131667953892e-05,2.0357131667953892e-05
V330,0.0,1.844645030042945e-05,1.844645030042945e-05
V112,1.0,-1.8277360952611626e-05,1.8277360952611626e-05
addr2,87.0,1.7330162023765815e-05,1.7330162023765815e-05
V180,0.0,1.6463194801278798e-05,1.6463194801278798e-05
V300,0.0,-1.6158286713069705e-05,1.6158286713069705e-05
V144,0.0,-1.4263126922131673e-05,1.4263126922131673e-05
V284,0.0,1.377272417346401e-05,1.377272417346401e-05
V155,1.0,-1.1874515868868114e-05,1.1874515868868114e-05
V15,1.0,1.1793255272263965e-05,1.1793255272263965e-05
V302,1.0,1.1456815093385346e-05,1.1456815093385346e-05
V163,0.0,-1.049763012568975e-05,1.049763012568975e-05
V199,8.0,-9.201979699810505e-06,9.201979699810505e-06
V148,1.0,-5.7139689718672025e-06,5.7139689718672025e-06
V17,1.0,5.18237527779383e-06,5.18237527779383e-06
V16,1.0,5.141090918617219e-06,5.141090918617219e-06
V250,1.0,-2.361347346382382e-06,2.361347346382382e-06
V138,0.0,-2.315566487547759e-06,2.315566487547759e-06
V175,0.0,0.0,0.0
V168,9.0,0.0,0.0
V190,5.0,0.0,0.0
V14,1.0,0.0,0.0
V88,1.0,0.0,0.0
V89,0.0,0.0,0.0
V93,1.0,0.0,0.0
V196,1.0,0.0,0.0
V235,0.0,0.0,0.0
V153,1.0,0.0,0.0
V68,0.0,0.0,0.0
V65,1.0,0.0,0.0
V193,2.0,0.0,0.0
V191,2.0,0.0,0.0
V195,2.0,0.0,0.0
V117,1.0,0.0,0.0
V241,1.0,0.0,0.0
V240,1.0,0.0,0.0
V239,1.0,0.0,0.0
V142,0.0,0.0,0.0
V252,1.0,0.0,0.0
V247,2.0,0.0,0.0
V41,1.0,0.0,0.0
V32,1.0,0.0,0.0
V122,1.0,0.0,0.0
V119,1.0,0.0,0.0
V327,0.0,0.0,0.0
V305,1.0,0.0,0.0
V22,1.0,0.0,0.0
V18,1.0,0.0,0.0
V27,0.0,0.0,0.0
V28,0.0,0.0,0.0
V298,0.0,0.0,0.0
V325,0.0,0.0,0.0
V322,0.0,0.0,0.0
V98,0.0,0.0,0.0
V113,1.0,0.0,0.0
V110,1.0,0.0,0.0
V107,1.0,0.0,0.0
V1,1.0,0.0,0.0
